manufacture_year,mileage_km,engine_cc,fuel_type_enc,transmission_enc,usd_pkr,make_enc,model_enc
2021,72000,2000.0,0,1,162.29,15.53212936554385,15.705720405742982
2022,72000,1000.0,0,1,203.74,14.689538551572547,14.733813331245617
2018,63000,1300.0,0,0,121.03,15.582216036861638,15.358359962182487
2021,42000,1500.0,0,1,162.29,15.618423127273212,15.628031248395956
2021,37000,1500.0,0,1,162.29,15.618423127273212,15.628031248395956
2021,106000,1500.0,0,1,162.29,15.134372535179956,15.059329700681124
2020,24000,2000.0,0,1,161.28,15.53212936554385,15.705720405742982
2015,16000,796.0,0,0,104.24,14.689538551572547,14.157175401535097
2015,75000,1500.0,1,1,104.24,15.361645422648705,15.129534925777472
2015,65210,1800.0,0,0,104.24,15.582216036861638,15.358359962182487
2022,26000,2000.0,0,1,203.74,15.53212936554385,15.705720405742982
2020,43000,1800.0,0,1,161.28,15.361645422648705,15.516425399356564
2018,104000,1500.0,0,1,121.03,15.361645422648705,15.354131830284432
2019,40000,1300.0,0,1,149.69,15.582216036861638,15.358359962182487
2019,54000,1300.0,0,1,149.69,15.582216036861638,15.358359962182487
2021,29000,2000.0,0,1,162.29,15.53212936554385,15.705720405742982
2022,46000,1800.0,0,1,203.74,15.582216036861638,15.358359962182487
2019,57000,1500.0,1,1,149.69,15.361645422648705,15.581728474180032
2022,32000,2000.0,0,1,203.74,15.53212936554385,15.705720405742982
2019,46000,1800.0,0,1,149.69,15.361645422648705,15.516425399356564
2018,129000,1300.0,0,0,121.03,15.582216036861638,15.358359962182487
2020,78000,2000.0,0,1,161.28,15.53212936554385,15.705720405742982
2022,33000,1300.0,0,1,203.74,15.582216036861638,15.30362924123614
2019,108000,1000.0,0,1,149.69,15.582216036861638,15.106831426850514
2016,62000,1500.0,0,1,104.65,15.361645422648705,15.516425399356564
2021,63000,1800.0,0,1,162.29,15.361645422648705,15.516425399356564
2020,57000,660.0,0,0,161.28,14.689538551572547,14.78798076906705
2018,120000,1500.0,1,1,121.03,15.582216036861638,15.334233160043022
2019,74000,2700.0,0,1,149.69,15.582216036861638,17.034541540555878
2018,118000,1800.0,1,1,121.03,15.582216036861638,15.785613749199268
2021,150000,1000.0,0,0,162.29,15.134372535179956,14.637464886059618
2016,136000,660.0,0,1,104.65,15.249459269354036,15.087561993525611
2018,125000,1300.0,0,0,121.03,15.361645422648705,15.14411735858117
2021,109000,1500.0,0,1,162.29,15.36643805328055,15.36643805328055
2016,128000,1300.0,0,1,104.65,15.582216036861638,15.358359962182487
2022,63000,660.0,0,1,203.74,14.689538551572547,14.78798076906705
2017,41000,1800.0,0,1,105.49,15.361645422648705,15.516425399356564
2022,53000,1200.0,0,1,203.74,14.689538551572547,14.89805942031078
2016,135000,1000.0,0,0,104.65,14.689538551572547,14.788997292072693
2021,63000,2000.0,0,1,162.29,15.759401624594304,15.778089894916285
2021,70000,1500.0,0,1,162.29,15.361645422648705,16.091231284265998
2022,79000,1500.0,0,1,203.74,15.361645422648705,15.516425399356564
2021,65200,2000.0,0,1,162.29,15.53212936554385,15.705720405742982
2017,140000,1800.0,0,1,105.49,15.361645422648705,15.516425399356564
2018,46000,1000.0,0,1,121.03,15.582216036861638,15.165652974498657
2021,64000,1800.0,0,1,162.29,15.361645422648705,15.516425399356564
2016,70000,800.0,0,0,104.65,14.689538551572547,14.281462747394901
2020,84000,660.0,0,1,161.28,15.147879956442214,15.06041390500872
2020,47000,2000.0,0,1,161.28,15.53212936554385,15.705720405742982
2018,82000,1300.0,0,0,121.03,15.582216036861638,15.358359962182487
2021,42218,1800.0,0,1,162.29,15.361645422648705,15.516425399356564
2021,72836,1800.0,0,1,162.29,15.582216036861638,15.358359962182487
