listing_id,make,model,manufacture_year,price_pkr,mileage_km,fuel_type,transmission,engine_cc,usd_pkr,price_per_cc,fuel_type_enc,transmission_enc,car_age,log_price
11449783,Suzuki,Bolan,2023,2250000.0,20600,Petrol,Manual,800.0,278.85,2812.5,0,0,2,14.626441218624949
11449802,Honda,City,2021,4100000.0,75000,Petrol,Manual,1300.0,162.29,3153.846153846154,0,0,4,15.226497775576945
11449450,Toyota,Corolla,2016,4845000.0,125000,Petrol,Automatic,1800.0,104.65,2691.6666666666665,0,1,9,15.39345800970533
11449583,Suzuki,Cultus,2017,2650000.0,97850,Petrol,Manual,1000.0,105.49,2650.0,0,0,8,14.790070575320824
11432837,MG,HS,2024,7050000.0,22000,Petrol,Automatic,1500.0,277.63,4700.0,0,1,1,15.768538316632412
11449542,Suzuki,Alto,2022,3750000.0,55000,Hybrid,Automatic,660.0,203.74,5681.818181818182,1,1,3,15.137266664613225
11448977,Toyota,Yaris Hatchback,2020,4300000.0,71000,Petrol,Automatic,1000.0,161.28,4300.0,0,1,5,15.274125813221904
11449519,Honda,Civic,2019,5100000.0,120000,Petrol,Automatic,1800.0,149.69,2833.333333333333,0,1,6,15.444751293772967
10977001,Suzuki,Cultus,2017,2275000.0,130000,Petrol,Manual,1000.0,105.49,2275.0,0,0,8,14.637491049927531
11449794,Toyota,Yaris Sedan,2022,5250000.0,80000,Petrol,Automatic,1500.0,203.74,3500.0,0,1,3,15.473738825043979
11449792,Changan,Oshan X7,2023,7550000.0,56000,Petrol,Automatic,1500.0,278.85,5033.333333333333,0,1,2,15.83705825367553
11449787,Nissan,Dayz,2023,4050000.0,24000,Hybrid,Automatic,660.0,278.85,6136.363636363636,1,1,2,15.214227685996272
11449780,Toyota,Yaris Sedan,2024,4700000.0,16800,Petrol,Automatic,1300.0,277.63,3615.3846153846152,0,1,1,15.363073279446223
11399266,Toyota,Corolla,2020,4995000.0,49000,Petrol,Automatic,1600.0,161.28,3121.875,0,1,5,15.423948170264971
11449770,Suzuki,Mehran,2017,1350000.0,85000,Petrol,Manual,796.0,105.49,1695.9798994974874,0,0,8,14.115615891155079
11434281,Haval,H6,2024,8800000.0,8500,Petrol,Automatic,1500.0,277.63,5866.666666666667,0,1,1,15.990262393084793
11334029,Toyota,Passo,2018,3600000.0,103235,Petrol,Automatic,1000.0,121.03,3600.0,0,1,7,15.096444681204078
11395666,Honda,City,2016,3775000.0,27800,Petrol,Manual,1300.0,104.65,2903.846153846154,0,0,9,15.143911205565889
11327081,Toyota,Passo,2022,4450000.0,83297,Petrol,Automatic,1000.0,203.74,4450.0,0,1,3,15.308414878861498
11247822,Toyota,Passo,2022,4575000.0,12261,Petrol,Automatic,1000.0,203.74,4575.0,0,1,3,15.336117475270969
11326831,Nissan,Dayz,2022,3975000.0,41055,Petrol,Automatic,660.0,203.74,6022.727272727273,0,1,3,15.195535557642865
11449431,Toyota,C-HR,2018,8000000.0,39000,Hybrid,Automatic,1800.0,121.03,4444.444444444444,1,1,7,15.894952224644102
11449757,Honda,BR-V,2018,3575000.0,123000,Petrol,Automatic,1500.0,121.03,2383.333333333333,0,1,7,15.089476013830486
